"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Volume","Price","Change"
91,"OCFC","OceanFirst Financial Corp.","Financial","Banks - Regional","USA",883.59,8.81,597551,15.05,2.87%
92,"HCAT","Health Catalyst Inc","Healthcare","Health Information Services","USA",391.37,,1898275,6.63,1.84%
93,"LRMR","Larimar Therapeutics Inc","Healthcare","Biotechnology","USA",510.40,,1009616,8.00,12.68%
94,"MFIC","MidCap Financial Investment Corporation","Financial","Asset Management","USA",1051.23,9.22,616095,16.11,2.61%
95,"AHR","American Healthcare REIT Inc","Real Estate","REIT - Healthcare Facilities","USA",1929.99,,2251445,14.66,2.45%
96,"NSA","National Storage Affiliates Trust","Real Estate","REIT - Industrial","USA",2742.04,19.26,1918509,36.58,2.90%
97,"BGXX","Bright Green Corp","Healthcare","Drug Manufacturers - Specialty & Generic","USA",52.24,,10767984,0.27,23.18%
98,"ARKO","ARKO Corp","Consumer Cyclical","Specialty Retail","USA",694.44,23.71,1018469,6.00,3.81%
99,"HCSG","Healthcare Services Group, Inc.","Healthcare","Medical Care Facilities","USA",793.95,19.46,1918567,10.78,0.47%
100,"EVT","Eaton Vance Tax Advantaged Dividend Income Fund","Financial","Closed-End Fund - Equity","USA",1748.77,,222311,23.46,0.90%
101,"NAUT","Nautilus Biotechnology Inc","Healthcare","Biotechnology","USA",343.24,,219620,2.74,3.79%
102,"HGTY","Hagerty Inc","Financial","Insurance - Property & Casualty","USA",824.43,152.94,184115,9.62,3.44%
103,"NR","Newpark Resources, Inc.","Energy","Oil & Gas Equipment & Services","USA",722.50,45.94,1947400,8.48,5.34%
104,"RARE","Ultragenyx Pharmaceutical Inc.","Healthcare","Biotechnology","USA",3336.84,,1518406,40.14,3.86%
105,"HESM","Hess Midstream LP","Energy","Oil & Gas Midstream","USA",2777.22,15.75,2506426,34.75,1.31%
106,"FSP","Franklin Street Properties Corp.","Real Estate","REIT - Office","USA",204.79,,5146296,1.98,5.32%
107,"UAMY","United States Antimony Corp.","Basic Materials","Other Industrial Metals & Mining","USA",39.04,,712593,0.36,1.41%
108,"SFIX","Stitch Fix Inc","Consumer Cyclical","Apparel Retail","USA",296.82,,3520679,2.47,8.81%
109,"ARLP","Alliance Resource Partners, LP","Energy","Thermal Coal","USA",3155.40,5.39,907173,24.64,3.27%
110,"POWW","AMMO Inc","Industrials","Aerospace & Defense","USA",320.38,,912157,2.70,6.30%
111,"PD","Pagerduty Inc","Technology","Software - Application","USA",1813.34,,3636446,18.97,5.68%
112,"LSXMA","Liberty Media Corp.","Communication Services","Entertainment","USA",7423.39,11.55,3469395,22.73,1.61%
113,"TDS","Telephone And Data Systems, Inc.","Communication Services","Telecom Services","USA",2248.37,,2548043,19.89,8.69%
114,"OII","Oceaneering International, Inc.","Energy","Oil & Gas Equipment & Services","USA",2400.92,22.32,2865468,23.68,0.04%
115,"CVI","CVR Energy Inc","Energy","Oil & Gas Refining & Marketing","USA",2800.77,4.27,2054462,27.86,1.42%
116,"EGY","VAALCO Energy, Inc.","Energy","Oil & Gas E&P","USA",660.07,10.51,3379330,6.38,1.43%
117,"VERB","Verb Technology Company Inc","Technology","Software - Application","USA",17.21,,68004352,0.16,3.98%
118,"INN","Summit Hotel Properties Inc","Real Estate","REIT - Hotel & Motel","USA",662.12,,1756694,6.12,1.66%
119,"AI","C3.ai Inc","Technology","Software - Application","USA",3609.02,,17835329,29.57,3.50%
120,"JWN","Nordstrom, Inc.","Consumer Cyclical","Department Stores","USA",3608.05,12.12,8047091,22.10,5.09%
121,"KSS","Kohl's Corp.","Consumer Cyclical","Department Stores","USA",2483.27,9.00,13603444,22.39,6.52%
122,"TTI","Tetra Technologies, Inc.","Energy","Oil & Gas Equipment & Services","USA",486.53,23.45,3153085,3.71,0.54%
123,"PDM","Piedmont Office Realty Trust Inc","Real Estate","REIT - Office","USA",903.16,,2165017,7.29,1.39%
124,"FHB","First Hawaiian INC","Financial","Banks - Regional","USA",2598.99,11.70,1592017,20.33,0.25%
125,"CMTG","Claros Mortgage Trust Inc","Real Estate","REIT - Mortgage","USA",1094.74,,712009,7.89,0.64%
