Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Float shares outstanding
FISK,"Empire State Realty OP, L.P. Series 250 Operating Partnership",8.71,USD,7.398273736128255,1870,1.5261568595446013,2459929015.9999995,USD,,,,,1.60735,Finance,,2560070.15337
BATRA,"Atlanta Braves Holdings, Inc. - Series A",41.59,USD,-0.35936751317680543,2787,0.10027235800146074,2434992305.5781026,USD,,-1.9176,USD,,0,Consumer Services,Buy,9924895.573532
OGCP,"Empire State Realty OP, L.P. Series 60 Operating Partnership",9.23,USD,2.441731409544957,350,0.08097728008884365,2427059841.5478354,USD,,,,,1.49653,Finance,,5036329.2714
CENT,Central Garden & Pet Company,38,USD,-3.2832781878340525,86714,0.93294128152741,2276042832.425554,USD,14.925373134328359,2.546,USD,21.90567392865693,0,Consumer Non-Durables,Strong buy,9532440.964
DRRKF,Dormakaba Hldg AG,540.77,USD,5.069169192507973,1,0.012722646310432571,2263906053.0531154,USD,73.02920024326296,7.404846256,USD,-71.99309243562605,2,Electronic Technology,Neutral,2428603.24983
KRDXF,Kardex Holding AG ,260.11,USD,-3.225686435002589,2,0.13986013986013984,2005562589.4131951,USD,26.120363522426448,9.958130934,USD,47.78457844866001,2.07469,Electronic Technology,Neutral,5964120.49104
CABO,"Cable One, Inc.",356.63,USD,-0.443861314276152,13882,0.184530392615594,2003930830.2462173,USD,8.166083151485731,43.6721,USD,131.3104134997855,3.29406,Consumer Services,Neutral,4456621.58684
POWL,"Powell Industries, Inc.",165.02,USD,-6.323796548592181,82557,0.23390916480683802,1978233033.2423935,USD,19.59904035725314,8.4198,USD,268.46527504266777,0.598887,Producer Manufacturing,Neutral,9274649.1772
UFPT,"UFP Technologies, Inc.",253.61,USD,-0.9335937499999947,5906,0.16117631968910928,1945312189.2473829,USD,40.85344244337769,6.2078,USD,1.7605402924398428,0,Process Industries,Buy,7247477.81748
USLM,"United States Lime & Minerals, Inc.",335,USD,-0.4487236634869665,5178,0.22742045993570034,1912566528.7361445,USD,23.96280400572246,13.98,USD,47.58667286009881,0.267451,Non-Energy Minerals,,2081647.4364
DLKGF,Delek Group Ltd.,103.87,USD,-2.0094339622641466,100,2.1881838074398248,1869924817.979572,USD,6.022333879402626,17.247466195,USD,-36.08183858024919,13.5233,Energy Minerals,,9404044.977
AGM/PC,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,25.23,USD,-0.03961965134706027,1060,0.9877923772248627,1847705595,USD,1.5378801270290205,16.4057,USD,18.607711160433492,2.71097,Finance,,9130115.438080002
AGM/PE,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",23.2,USD,0.15109000647528661,991,0.12318669434534539,1847705595,USD,1.4141426455439268,16.4057,USD,18.607711160433492,2.71097,Finance,,9130115.438080002
AGM/PF,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",21.33,USD,-0.5594405594405641,462,0.040466326235668176,1847705595,USD,1.300157871959136,16.4057,USD,18.607711160433492,2.71097,Finance,,9130115.438080002
AGM/PG,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",20.13,USD,1.3090151435085118,576,0.10265000980165023,1847705595,USD,1.227012562706864,16.4057,USD,18.607711160433492,2.71097,Finance,,9130115.438080002
AGM/PD,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",23.0711,USD,0.026446997615434613,768,0.14053579270970576,1847705595,USD,1.4062856202417453,16.4057,USD,18.607711160433492,2.71097,Finance,,9130115.438080002
AGM,Federal Agricultural Mortgage Corporation,170.154,USD,-1.8549922131856769,6634,0.16391133864220928,1813430800.090154,USD,10.371639125425919,16.4057,USD,18.607711160433492,2.71097,Finance,Strong buy,9130115.438080002
DAC,Danaos Corporation,90.4,USD,-2.122130792550881,34649,0.2422061880748631,1750216485.4135995,USD,3.0673805791377404,29.4714,USD,60.22202771540872,3.35643,Transportation,Buy,9900299.966400001
NWLI,"National Western Life Group, Inc.",491.5,USD,0.038672121471168455,4268,0.1968607445468928,1737953887.8223526,USD,11.159827346231657,44.0419,USD,101.55830248001207,0.0732735,Finance,,2245830.77628
TARO,Taro Pharmaceutical Industries Ltd.,42.69,USD,-0.11698642957417937,20610,0.7486949603856451,1604599034.282639,USD,29.78649176667597,1.4332,USD,111.69867060561299,0,Health Technology,,8086815.2898
VRTS,"Virtus Investment Partners, Inc.",210.78,USD,-1.2508784258608514,7284,0.15680938961880506,1502414745.8732257,USD,12.701263015811803,16.5952,USD,0.4764932037659176,3.44343,Finance,Neutral,6697619.77956
FBYD,"Falcon's Beyond Global, Inc.",11.75,USD,4.444444444444445,2172,0.39050701186623515,1467732034.3111112,USD,,,,,0,Industrial Services,,2706397.5626
DSGR,"Distribution Solutions Group, Inc.",30.02,USD,-3.036175710594319,7580,0.12295115205878297,1405200126.5484498,USD,,-0.4254,USD,-207.66894457099468,0,Distribution Services,Buy,9304044.749599999
